cache_key,alert_type,phase,question_pattern,spl_template,description
ransomware_phase_b_process_timeline,RANSOMWARE_POWERSHELL_ENCODED,phase_b,"timeline of all process execution events on host","index=endpoint OR index=edr host=""{host}"" earliest={earliest} latest=now process_name IN (""powershell.exe"",""cmd.exe"",""wscript.exe"",""cscript.exe"") | eval time=strftime(_time,""%Y-%m-%dT%H:%M:%SZ"") | table time, process_name, parent_process_name, command_line, user | sort time | head 200","Process execution timeline for ransomware/encoded PowerShell alerts"
ransomware_phase_b_endpoint_powershell_cim,RANSOMWARE_POWERSHELL_ENCODED,phase_b,"powershell execution via CIM Endpoint datamodel","| datamodel Endpoint Processes search | search process_name=powershell.exe host=""{host}"" earliest={earliest} latest=now | table _time, host, user, process_name, parent_process_name, process | sort _time","CIM-based PowerShell process search"
ransomware_phase_c_c2_network_traffic,RANSOMWARE_POWERSHELL_ENCODED,phase_c,"outbound connections to known C2 IP","| datamodel Network_Traffic All_Traffic search | search dest=""{c2_ip}"" earliest={earliest} latest=now | table _time, src, dest, dest_port, bytes_out, action | sort _time","C2 beacon detection via CIM Network_Traffic"
ransomware_phase_d_auth_success_after_compromise,RANSOMWARE_POWERSHELL_ENCODED,phase_d,"successful authentication events for compromised user","| datamodel Authentication Authentication search | search user=""{user}"" action=success earliest={earliest} latest=now | table _time, user, src, dest, app | sort _time","Confirms account usage after suspected compromise"
ransomware_phase_d_dns_malicious_domain,RANSOMWARE_POWERSHELL_ENCODED,phase_d,"DNS queries to malicious domain","| datamodel Network_Resolution DNS search | search query=""*{malicious_domain}*"" earliest={earliest} latest=now | table _time, src, query, answer | sort _time","DNS resolution evidence for malicious domain IOC"
ransomware_phase_b_lsass_access,RANSOMWARE_POWERSHELL_ENCODED,phase_b,"LSASS memory access events on host","index=endpoint OR index=edr host=""{host}"" earliest={earliest} latest=now (process_name=""lsass.exe"" OR target_process=""lsass.exe"") | table _time, host, process_name, target_process, access_mask, user | sort _time","Credential dumping via LSASS access detection"
ransomware_phase_e_file_encryption_check,RANSOMWARE_POWERSHELL_ENCODED,phase_e,"files renamed with ransomware extensions on host","index=endpoint OR index=file_integrity host=""{host}"" earliest={earliest} latest=now (file_name=""*.locked"" OR file_name=""*.encrypted"" OR file_name=""*.lockbit"") | stats count by host, file_path","File encryption indicator scan"
insider_phase_b_large_upload,INSIDER_THREAT_LARGE_UPLOAD,phase_b,"large outbound data transfers for user","index=network OR index=proxy user=""{user}"" earliest={earliest} latest=now bytes_out>10485760 | eval mb_out=round(bytes_out/1048576,2) | table _time, src_ip, dest_ip, dest_port, url, mb_out | sort -mb_out | head 100","Detects large uploads consistent with data exfiltration"
insider_phase_c_usb_writes,INSIDER_THREAT_LARGE_UPLOAD,phase_c,"USB mass storage write events for user","index=endpoint sourcetype=""XmlWinEventLog"" EventCode=4663 user=""{user}"" earliest={earliest} latest=now | table _time, host, user, object_file_path, bytes | sort _time | head 100","USB write activity correlation"
insider_phase_d_sharepoint_downloads,INSIDER_THREAT_LARGE_UPLOAD,phase_d,"bulk SharePoint file downloads by user","index=o365 sourcetype=""o365:management:activity"" Operation=FileDownloaded UserId=""{user}"" earliest={earliest} latest=now | stats count by ObjectId | sort -count | head 100","Bulk SharePoint download enumeration"
bruteforce_phase_b_rdp_failures,BRUTE_FORCE_RDP,phase_b,"failed RDP authentication attempts against host","| datamodel Authentication Authentication search | search dest=""{host}"" app=""rdp"" action=failure earliest={earliest} latest=now | stats count earliest(_time) as first_seen latest(_time) as last_seen by src, user | sort -count | head 50","RDP brute force volumetric analysis"
bruteforce_phase_b_successful_after_failures,BRUTE_FORCE_RDP,phase_b,"any successful RDP logins following failures","| datamodel Authentication Authentication search | search dest=""{host}"" app=""rdp"" action=success earliest={earliest} latest=now | table _time, src, user, dest | sort _time","Checks whether brute force ultimately succeeded"
certutil_phase_a_process_args,MALWARE_EXECUTION_CERTUTIL,phase_a,"certutil process invocations with arguments","| datamodel Endpoint Processes search | search process_name=certutil.exe host=""{host}"" earliest={earliest} latest=now | table _time, host, user, process, parent_process | sort _time","LOLBAS certutil usage triage"
supplychain_phase_b_hash_mismatch_hosts,SUPPLY_CHAIN_HASH_MISMATCH,phase_b,"hosts running binary with mismatched hash","| datamodel Endpoint Filesystem search | search file_hash=""{bad_hash}"" earliest={earliest} latest=now | stats dc(host) as affected_hosts values(host) as hosts by file_name, file_hash","Blast radius for supply chain hash mismatch"
supplychain_phase_c_scheduled_task_persistence,SUPPLY_CHAIN_HASH_MISMATCH,phase_c,"scheduled tasks created for persistence","index=endpoint sourcetype=""XmlWinEventLog:Microsoft-Windows-TaskScheduler/Operational"" EventCode=106 earliest={earliest} latest=now | table _time, host, user, TaskName | sort _time","Persistence via scheduled task creation"
supplychain_phase_d_c2_beacon,SUPPLY_CHAIN_HASH_MISMATCH,phase_d,"beaconing connections to C2 over alternate port","| datamodel Network_Traffic All_Traffic search | search dest=""{c2_ip}"" dest_port=""{c2_port}"" earliest={earliest} latest=now | timechart span=5m count by src","C2 beacon interval analysis"
lateral_movement_phase_c_smb_rdp_wmi,_default,phase_c,"lateral movement via SMB RDP or WMI from host or user","| datamodel Authentication Authentication search | search (src=""{host}"" OR user=""{user}"") (app=""smb"" OR app=""rdp"" OR app=""wmi"") earliest={earliest} latest=now | table _time, src, dest, user, app, action | sort _time | head 200","Generic lateral movement detection"
network_flows_phase_c_top_talkers,_default,phase_c,"top network talkers by bytes for host","| datamodel Network_Traffic All_Traffic search | search src=""{host}"" earliest={earliest} latest=now | stats sum(bytes_out) as bytes_out sum(bytes_in) as bytes_in by dest | sort -bytes_out | head 50","Network flow volume summary for host"
identity_phase_d_offhours_access,_default,phase_d,"off hours access for user","| datamodel Authentication Authentication search | search user=""{user}"" action=success earliest={earliest} latest=now | eval hour=strftime(_time,""%H"") | where hour<""{baseline_start}"" OR hour>""{baseline_end}"" | table _time, user, src, dest, hour","Off-hours access anomaly detection"
identity_phase_d_impossible_travel,_default,phase_d,"impossible travel for user based on geolocation","| datamodel Authentication Authentication search | search user=""{user}"" action=success earliest={earliest} latest=now | iplocation src | table _time, user, src, City, Country | sort _time","Impossible travel / geo-velocity check"
asset_phase_a_criticality_lookup,_default,phase_a,"asset criticality for host or ip","| inputlookup asset_criticality_lookup | search (asset_name=""{host}"" OR ip_address=""{host}"") | head 1","Asset criticality context lookup"
ioc_phase_a_whitelist_check,_default,phase_a,"check if IOC is on the whitelist","| inputlookup ioc_whitelist_lookup | search ioc_value=""{ioc_value}"" | head 1","IOC whitelist check to avoid false positive enrichment"
